tag,spec,sex,obs,maxph,minph,meanph,SDph,maxpd,minpd,meanpd,SDpd,centx,centy,maxd,SVL,month,group,JanRecap
O23,SA,F,2,53,28,40.5,17.67766953,4,3,3.5,0.707106781,-9.714363815,47.28411185,1.68746079,39.217,Aug,sa_f_aug,N
O37,SA,F,2,84,9,46.5,53.03300859,4,3,3.5,0.707106781,-12.27750059,62.13177541,2.839719095,39.542,Aug,sa_f_aug,N
O40,SA,F,2,45,25,35,14.14213562,3,2,2.5,0.707106781,-7.639026277,47.06414611,2.099742158,39.511,Aug,sa_f_aug,Y
O73,SA,F,2,91,31,61,42.42640687,2,2,2,,-8.701620862,-19.39650222,1.387334338,40.791,Aug,sa_f_aug,Y
O92,SA,F,2,77,60,68.5,12.02081528,9,4,6.5,3.535533906,-4.727306214,7.157087862,0.94793667,43.306,Aug,sa_f_aug,N
P05,SA,F,2,15,0,7.5,10.60660172,4,4,4,,-8.956346484,-16.3960953,1.396179985,41.703,Aug,sa_f_aug,Y
P06,SA,F,3,179,22,85.66666667,82.59741723,7,3,5.333333333,2.081665999,-4.408591103,-14.44164393,3.72513767,43.565,Aug,sa_f_aug,N
P07,SA,F,4,57,13,32,18.31210893,5,2,3.25,1.258305739,-1.522967741,-16.38706251,0.879334254,39.611,Aug,sa_f_aug,N
P15,SA,F,2,8,0,4,5.656854249,4,3,3.5,0.707106781,-0.615786625,-0.809759764,2.401227957,38.66,Aug,sa_f_aug,N
P21,SA,F,4,183,7,73.25,83.3161649,5,3,3.5,1,-1.811996427,8.011750512,2.481302656,37.666,Aug,sa_f_aug,N
P28,SA,F,2,54,18,36,25.45584412,6,3,4.5,2.121320344,2.871073237,9.080891307,0.134234852,41.499,Aug,sa_f_aug,N
P40,SA,F,7,50,9,34.85714286,12.68106951,12,4,7.714285714,2.497617913,2.4990572,-6.245021923,5.417348107,41.071,Aug,sa_f_aug,Y
P41,SA,F,2,48,17,32.5,21.92031022,10,9,9.5,0.707106781,1.473841656,-3.474682246,7.548675629,35.564,Aug,sa_f_aug,Y
P45,SA,F,2,45,19,32,18.38477631,5,4,4.5,0.707106781,-10.188823,33.43148507,3.297327096,38.811,Aug,sa_f_aug,N
P46,SA,F,2,52,33,42.5,13.43502884,6,3,4.5,2.121320344,-6.841606749,15.30004366,27.47176644,40.403,Aug,sa_f_aug,N
P51,SA,F,3,108,12,44.33333333,55.13921774,7,1,3.333333333,3.214550254,-6.973931824,47.73689226,2.981392835,41.812,Aug,sa_f_aug,N
P54,SA,F,2,133,24,78.5,77.07463915,7,1,4,4.242640687,-11.43914508,45.72795523,1.635168822,42.17,Aug,sa_f_aug,N
P55,SA,F,3,53,0,26.66666667,26.50157228,3,2,2.666666667,0.577350269,-10.37411753,48.46380945,1.848516379,40.597,Aug,sa_f_aug,N
P62,SA,F,2,31,25,28,4.242640687,5,4,4.5,0.707106781,-8.725450657,17.58688007,12.02912364,41.636,Aug,sa_f_aug,Y
P66,SA,F,2,21,0,10.5,14.8492424,4,4,4,,-3.288994347,12.02131023,4.272936553,41.051,Aug,sa_f_aug,Y
P69,SA,F,3,245,0,91.33333333,133.8668493,4,1,2.5,2.121320344,-9.310040058,1.640483263,14.72979251,41.366,Aug,sa_f_aug,Y
P71,SA,F,4,58,11,28.25,21.07723891,7,3,4.852856916,1.739987392,3.799932046,-2.206691638,9.013280138,40.242,Aug,sa_f_aug,Y
P74,SA,F,2,28,0,14,19.79898987,8,8,8,,-0.911158535,-6.46683266,0.395902532,42.578,Aug,sa_f_aug,Y
P75,SA,F,2,36,35,35.5,0.707106781,5,4,4.5,0.707106781,3.844846449,-6.364268907,3.644082877,36.95,Aug,sa_f_aug,Y
P80,SA,F,3,26,0,12.66666667,13.0128142,12,8,10,2.828427125,-0.220298897,-4.375141615,2.984266225,37.038,Aug,sa_f_aug,N
P81,SA,F,3,122,25,75,48.56953778,6,4,5,1,7.087043765,-7.307743844,1.467176161,41.473,Aug,sa_f_aug,N
P86,SA,F,3,70,36,57.66666667,18.82374387,10,4,7,3,2.914967509,2.418732397,6.639888175,42.615,Aug,sa_f_aug,N
P89,SA,F,3,83,63,49.5,30.13137899,4,1,2.583333333,1.357080199,-9.396013811,1.816879367,33.95334187,55.051,Aug,sa_f_aug,N
P93,SA,F,2,27,25,26,1.414213562,3,2,2.5,0.707106781,-1.860685058,1.730083866,0.373914109,42.277,Aug,sa_f_aug,N
P98,SA,F,2,96,30,63,46.66904756,4,3,3.5,0.707106781,-6.112645485,12.53606829,17.99023481,39.056,Aug,sa_f_aug,N
S00,SA,F,7,62,10,33.42857143,19.19945436,6,2,3.857142857,1.345185418,6.602395312,-5.548677243,2.644250083,41.772,Aug,sa_f_aug,Y
S01,SA,F,2,57,0,28.5,40.30508653,8.912939678,8.912939678,8.912939678,,4.369084917,-4.18353561,0.849353954,45.244,Aug,sa_f_aug,N
S12,SA,F,2,7,0,3.5,4.949747468,,,,,-12.30664905,13.69753295,2.442248876,39.37,Aug,sa_f_aug,Y
S39,SA,F,3,46,37,40,5.196152423,5,2,3.666666667,1.527525232,7.765281187,-1.152110161,2.992244394,42.665,Aug,sa_f_aug,Y
S41,SA,F,2,42,27,34.5,10.60660172,8,4,6,2.828427125,5.788817308,5.218828679,10.69757258,38.188,Aug,sa_f_aug,N
S43,SA,F,2,40,35,37.5,3.535533906,4,4,4,,-11.24395786,41.4822734,19.141195,41.222,Aug,sa_f_aug,N
S80,SA,F,2,85,0,42.5,60.1040764,4,4,4,,-6.422470427,-11.79226303,0.946345521,39.513,Aug,sa_f_aug,N
S90,SA,F,2,112,34,73,55.15432893,9,6,7.5,2.121320344,-23.00809224,66.47121816,4.431956126,39.849,Aug,sa_f_aug,N
S97,SA,F,2,42,20,31,15.55634919,14,4,9,7.071067812,-16.68515374,92.29023023,1.44202609,40.027,Aug,sa_f_aug,N
