Tag,Spec,Sex,D,Month,Group
O23,SA,F,1.68746079,Aug,sa_f_aug
O37,SA,F,2.839719095,Aug,sa_f_aug
O92,SA,F,0.94793667,Aug,sa_f_aug
P06,SA,F,3.72513767,Aug,sa_f_aug
P07,SA,F,0.879334254,Aug,sa_f_aug
P15,SA,F,2.401227957,Aug,sa_f_aug
P21,SA,F,2.481302656,Aug,sa_f_aug
P28,SA,F,0.134234852,Aug,sa_f_aug
P45,SA,F,3.297327096,Aug,sa_f_aug
P46,SA,F,27.47176644,Aug,sa_f_aug
P51,SA,F,2.981392835,Aug,sa_f_aug
P54,SA,F,1.635168822,Aug,sa_f_aug
P55,SA,F,1.848516379,Aug,sa_f_aug
P80,SA,F,2.984266225,Aug,sa_f_aug
P81,SA,F,1.467176161,Aug,sa_f_aug
P86,SA,F,6.639888175,Aug,sa_f_aug
P89,SA,F,33.95334187,Aug,sa_f_aug
P93,SA,F,0.373914109,Aug,sa_f_aug
P98,SA,F,17.99023481,Aug,sa_f_aug
S01,SA,F,0.849353954,Aug,sa_f_aug
S41,SA,F,10.69757258,Aug,sa_f_aug
S43,SA,F,19.141195,Aug,sa_f_aug
S80,SA,F,0.946345521,Aug,sa_f_aug
S90,SA,F,4.431956126,Aug,sa_f_aug
S97,SA,F,1.44202609,Aug,sa_f_aug
V49,SA,F,1.644090407,Aug,sa_f_aug
O03,SA,M,9.992696775,Aug,sa_m_aug
O07,SA,M,6.541385174,Aug,sa_m_aug
O10,SA,M,25.62375612,Aug,sa_m_aug
O29,SA,M,5.11583772,Aug,sa_m_aug
O45,SA,M,1.204791398,Aug,sa_m_aug
O47,SA,M,4.755922138,Aug,sa_m_aug
O49,SA,M,2.005473379,Aug,sa_m_aug
O55,SA,M,0.827564375,Aug,sa_m_aug
O57,SA,M,1.401563065,Aug,sa_m_aug
O65,SA,M,5.388395608,Aug,sa_m_aug
O82,SA,M,4.670000004,Aug,sa_m_aug
O95,SA,M,30.08394572,Aug,sa_m_aug
O98,SA,M,3.068361677,Aug,sa_m_aug
P11,SA,M,5.720382939,Aug,sa_m_aug
P14,SA,M,8.497328532,Aug,sa_m_aug
P20,SA,M,1.529359924,Aug,sa_m_aug
P24,SA,M,12.88395288,Aug,sa_m_aug
P34,SA,M,7.667301418,Aug,sa_m_aug
P37,SA,M,6.679018669,Aug,sa_m_aug
P39,SA,M,2.004196913,Aug,sa_m_aug
P58,SA,M,1.189000109,Aug,sa_m_aug
P64,SA,M,9.73024711,Aug,sa_m_aug
P72,SA,M,3.514859534,Aug,sa_m_aug
P84,SA,M,3.251349678,Aug,sa_m_aug
P91,SA,M,6.776000001,Aug,sa_m_aug
P94,SA,M,2.582915,Aug,sa_m_aug
P97,SA,M,7.473752857,Aug,sa_m_aug
S08,SA,M,2.809752041,Aug,sa_m_aug
S14,SA,M,5.902992407,Aug,sa_m_aug
S24,SA,M,5.289292622,Aug,sa_m_aug
S26,SA,M,16.03387608,Aug,sa_m_aug
S47,SA,M,3.337208745,Aug,sa_m_aug
S56,SA,M,13.42585146,Aug,sa_m_aug
S58,SA,M,23.54374633,Aug,sa_m_aug
S60,SA,M,6.148186933,Aug,sa_m_aug
S64,SA,M,9.390237436,Aug,sa_m_aug
S85,SA,M,14.53670098,Aug,sa_m_aug
V04,SA,M,10.69756503,Aug,sa_m_aug
V10,SA,M,0,Aug,sa_m_aug
V13,SA,M,17.70752881,Aug,sa_m_aug
V17,SA,M,7.32790545,Aug,sa_m_aug
V50,SA,M,5.294051257,Aug,sa_m_aug
V91,SA,M,4.598833567,Aug,sa_m_aug
S65,SA,M,6.159213179,Aug,sa_m_aug
P16,SM,F,6.496482346,Aug,sm_f_aug
S04,SM,F,3.276857122,Aug,sm_f_aug
S06,SM,F,3.113454553,Aug,sm_f_aug
S10,SM,F,1.708733436,Aug,sm_f_aug
S88,SM,F,7.302276411,Aug,sm_f_aug
T24,SM,F,5.950858066,Aug,sm_f_aug
T34,SM,F,2.474797644,Aug,sm_f_aug
T88,SM,F,2.172257467,Aug,sm_f_aug
P38,SM,M,1.907651027,Aug,sm_m_aug
S02,SM,M,14.01582467,Aug,sm_m_aug
S17,SM,M,5.463577006,Aug,sm_m_aug
S51,SM,M,11.46264404,Aug,sm_m_aug
S52,SM,M,13.35398986,Aug,sm_m_aug
T22,SM,M,5.014566101,Aug,sm_m_aug
T23,SM,M,4.954218195,Aug,sm_m_aug
T36,SM,M,0.142561192,Aug,sm_m_aug
T46,SM,M,12.69847322,Aug,sm_m_aug
T47,SM,M,18.45166781,Aug,sm_m_aug
T54,SM,M,4.603732712,Aug,sm_m_aug
T55,SM,M,11.79787801,Aug,sm_m_aug
T59,SM,M,3.838532611,Aug,sm_m_aug
T64,SM,M,8.034819116,Aug,sm_m_aug
T85,SM,M,0.571782005,Aug,sm_m_aug
X04,SM,M,7.272263211,Aug,sm_m_aug
S03,SA,M,5.108584758,Aug,sa_m_aug
S29,SA,M,36.15678055,Aug,sa_m_aug
T78,SM,F,58.83642215,Aug,sm_f_aug
P87,SM,M,5.343977784,Aug,sm_m_aug
