Tag,Species,Sex,TOD,Orientation,Light,Substrate,Int or Ext,P. Height (cm),P. Diam (cm),Ref Mark 1,Dist Mark 1,Ref Mark 2,Dist Mark 2,Ref Mark 3,Dist Mark 3,xcoordA,ycoordA,Mass (g),Tail (cm),Regen,Tube and Pics,Catch Date,"Dead, Injured, Missing",Rep,AliveJan2017,Recap Date,Tree,xcoordJ,ycoordJ,JanSVL,AugMult,AugSVL,Lulna,Rulna,Lfem,Ltib,Rfem,Rtib,Eggs
O00,SM,M,15:18,D,SU,BRANCH,I,193,3,93,2.15,102,5.4,88,6.6,-19.94701103,98.97222283,3.94,11.3,N,0.958,8/4/2016,N,N,N,NA,NA,NA,NA,NA,N,,,,,,,,
O01,SA,M,15:19,H,SH,BRANCH,I,60,3,93,4.574,87,2.781,88,7.058,-17.15033767,92.84110564,5.74,11.1,N,0.159,8/4/2016,N,N,N,NA,NA,NA,NA,NA,N,54.624,8.053,7.941,13.452,11.478,13.391,11.491,0
O02,SA,M,15:31,D,SH,TRUNK,I,61,5,78,2.441,79,7.852,77,6.378,-21.81188308,73.5959952,6.22,10,N,0.16,8/4/2016,N,N,Y,14-Jan,70,-28.79521589,66.73296581,59,Y,54.523,8.212,8.211,13.601,11.579,13.497,11.465,0
O02,SA,M,15:36,U,H,TRUNK,I,69,4,77,6.624,78,1.425,79,7.064,-22.4548522,74.11520795,,,,,8/15/2016,,Y,,,,NA,NA,,Y,,,,,,,,
O03,SA,M,15:35,D,H,TRUNK,I,143,5,78,4.633,77,4.485,79,9.59,-16.85051257,81.94218038,2,6.6,N,0.161,8/4/2016,N,N,N,NA,NA,NA,NA,NA,Y,40.117,5.732,5.837,9.477,7.851,9.497,7.927,0
O03,SA,M,14:48,US,SH,BRANCH,I,174,2,78,0.543,79,5.286,80,5.98,-24.21845675,75.19181836,,,,,8/21/2016,,Y,,,,NA,NA,,Y,,,,,,,,
O04,SA,F,10:23,D,H,TRUNK,I,30,8,75,4.021,83,3.632,82,7.631,-6.025729005,80.34753308,1.46,6.5,N,0.162,8/6/2016,N,N,N,NA,NA,NA,NA,NA,N,34.868,5.199,5.093,8.793,7.371,9.089,7.63,0
O05,SA,M,10:59,D,SU,BRANCH,E,61,15,92,2.997,90,2.982,91,7.144,-11.13601183,106.4285143,4.9,10,N,0.163,8/6/2016,N,N,Y,18-Jan,88,-13.34957347,98.78833651,53,N,53.006,8.174,8.07,13.586,11.348,13.375,11.415,0
O06,SA,F,11:07,H,H,ROCK,I,10,16.5,79,8.543,100,8.244,101,3.125,-21.24595517,94.58036826,2.79,6.7,Y,0.164,8/6/2016,N,N,N,NA,NA,NA,NA,NA,N,42.848,5.679,5.731,9.864,8.3,9.548,8.316,1
O07,SA,M,11:25,D,SH,TRUNK,I,31,7,84,3.498,87,5.182,88,3.743,-11.20978203,95.28677876,5.68,6.8,Y,0.165,8/6/2016,N,N,N,NA,NA,NA,NA,NA,Y,53.751,8.077,8.147,12.725,10.899,12.913,10.901,0
O07,SA,M,9:24,H,SH,BRANCH,I,81,4,93,6.163,90,3.657,88,3.5,-12.77236095,101.6387916,,,,,8/20/2016,,Y,,,,NA,NA,,Y,,,,,,,,
