Tag,Spec,Sex,TOD,Orien,Light,Sub,IorE,Height,Diam,Ref1,Dist1,Ref2,Dist2,Ref3,Dist3,Mass,Tail,Regen,Tube,Date,NoUse,Rep
O23,SA,F,14:50,D,SH,TRUNK,I,53,4,48,3.849,50,3.473,51,8.05,1.98,7.1,N,0.181,8/6/2016,N,N
O23,SA,F,15:19,D,SH,TRUNK,I,28,3,49,2.761,50,3.459,48,3.595,,,,,8/21/2016,,Y
O37,SA,F,17:00,H,SH,BRANCH,I,9,4,60,4.857,58,1.833,52,8.036,2.1,6.3,Y,0.195,8/6/2016,N,N
O37,SA,F,11:05,D,SH,BRANCH,I,84,3,58,4.236,60,2.728,72,7.076,,,,,8/20/2016,,Y
O40,SA,F,17:14,D,SH,TRUNK,I,25,2,50,2.422,49,3.218,51,7.674,2.23,6.9,N,0.198,8/6/2016,N,N
O40,SA,F,9:40,D,SH,TRUNK,I,45,3,50,2.535,48,4.679,51,6.639,,,,,8/21/2016,,Y
O73,SA,F,10:32,DS,SU,ROCK,E,31,54,121,3.193,123,6.435,119,4.932,2.02,7.3,N,0.231,8/12/2016,N,N
O73,SA,F,17:13,D,SH,BRANCH,E,91,2,121,2.334,119,6.073,148,5.485,,,,,8/17/2016,,Y
O92,SA,F,14:06,D,SH,TRUNK,I,77,9,143,5.188,13,0.416,142,4.708,2.63,7.8,N,0.25,8/12/2016,N,N
O92,SA,F,10:05,US,SH,BRANCH,I,60,4,13,0,13,0,13,0,,,,,8/15/2016,,Y
P05,SA,F,8:12,H,SH,BRANCH,I,15,4,121,4.925,119,3.609,148,8.667,2.38,6.5,Y,0.007,7/30/2016,N,N
P05,SA,F,10:09,H,SH,ROCK,E,0,15.5,119,2.682,121,5.033,148,7.692,,,,,8/12/2016,,Y
P06,SA,F,8:15,D,SH,TRUNK,I,56,6,122,5.209,123,2.428,8,4.754,2.19,7.3,N,0.008,7/30/2016,N,N
P06,SA,F,11:26,H,SH,BRANCH,I,179,3,123,2.435,8,4.255,6,10.447,,,,,8/8/2016,,Y
P06,SA,F,8:56,D,SH,TRUNK,I,22,7,123,2.472,8,4.737,122,5.485,,,,,8/12/2016,,Y
P07,SA,F,8:17,D,SH,TRUNK,I,57,5,122,5.137,123,1.209,8,5.855,1.74,7.4,N,0.009,7/30/2016,N,N
P07,SA,F,7:41,D,C,TRUNK,I,13,3,123,2.002,122,4.725,8,5.891,,,,,8/6/2016,,Y
P07,SA,F,8:58,D,SH,TRUNK,I,30,3,122,4.634,123,2.069,8,5.886,,,,,8/12/2016,,Y
P07,SA,F,16:50,D,SH,TRUNK,I,28,2,122,4.824,123,1.823,8,5.856,,,,,8/17/2016,,Y
